,text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,z_score_Happiness_M,z_score_Sadness_M,z_score_Anger_M,z_score_Disgust_M,z_score_Fear_M,z_score_Pride_M,z_score_Valence_M,z_score_Arousal_M,total_z_score
26,"Trzy lata temu staliśmy przed pałacem prezydenckim, prosząc Andrzeja Dudę, żeby powstrzymał niszczenie wolnych sądów. Olał nas. W niedzielę dostanie rachunek .",twitter,57,1.0,2.8,4.2,2.6,1.8,1.8,1.6,3.8,0.0,0.0,0.4499999999999999,0.8,0.4,0.2,0.2,0.15,0.7,0.7028090943480242,1.6757536723517683,2.1601933850714,1.1823269664496503,0.626485053719382,0.1089651575616884,1.1628704631348146,1.8705579348736547,9.489961727510384
33,Prezydent Andrzej Duda o rządzie PO-PSL: Byli gorsi niż koronawirus.  _link_ ,twitter,47,1.0,1.6,3.2,3.6,1.8,1.0,1.6,2.8,1.0,0.0,0.15,0.55,0.65,0.2,0.0,0.15,0.4499999999999999,0.7028090943480242,0.0430135919779793,1.1981444637568175,2.3880004406615964,0.626485053719382,0.8114075297411351,1.1628704631348146,0.5356658411643895,7.468396478504139
50,Za kasę z podatków i przymusowego abonamentu sponsorujemy w TVPIS 24-godzinny spot Prezydenta Dudy z przerwami na prognozę pogodę. #SilnyPrezydent #Trzaskowski2020 _link_ ,twitter,83,1.0,1.8,3.4,2.0,1.0,1.2,2.0,2.2,2.0,0.0,0.2,0.6,0.25,0.0,0.0499999999999999,0.25,0.3,0.7028090943480242,0.2434476187436453,1.3905542480197337,0.4589228819224826,0.7521940272312464,0.5813143579154293,0.7274642908216074,0.2652694150611691,5.121975934063338
356,Weto Senatu i Dudy ws. lexTVN mogą nie mieć znaczenia.  KRRiT ma nowy pomysł. Chce sięgnąć po art.10 ustawy medialnej w którym może zablokować koncesję za naruszenie ustawy—TVN ma właściciela spoza EOG – 🇺🇸.  Oto plan B PiSu na wywłaszczenie stacji.,twitter,18,1.0,2.0,2.2,1.2,1.0,1.0,2.4,1.8,0.0,0.0,0.25,0.3,0.0499999999999999,0.0,0.0,0.35,0.2,0.7028090943480242,0.5299088294652698,0.2360955424422346,0.5056158974470742,0.7521940272312464,0.8114075297411351,0.2920581185084002,0.7992262525448753,4.62931529172826
387,"_users_ Jeśli mowa o A.Dudzie jako ""zwycięzcy"" pseudo-wyborów w maju, to trzeba nazywać rzeczy po imieniu: to byłby uzurpator z konstytucjnego i moralnego punktu widzenia.",twitter,69,1.0,2.2,4.6,3.8,2.2,1.2,1.4,3.4,1.0,0.0,0.3,0.8999999999999999,0.7,0.3,0.0499999999999999,0.0999999999999999,0.6,0.7028090943480242,0.8163700401868949,2.545012953597233,2.6291351355039856,1.3158245941946964,0.5813143579154293,1.3805735492914184,1.3366010973899487,11.30764082242763
465,_users_ Ale co ma wypowiedź prezydenta Dudy w sprawie szczepień do decyzji Bidena w sprawie Afganistanu? Wytłumaczy Pan?,twitter,2,1.0,1.0,2.8,2.0,1.6,1.6,1.8,3.4,3.0,0.0,0.0,0.4499999999999999,0.25,0.15,0.15,0.2,0.6,0.7028090943480242,0.9023972241428534,0.813324895230984,0.4589228819224826,0.281815283481725,0.1211280142640174,0.945167376978211,1.3366010973899487,5.562165867758246
628,"Prezydent Andrzej Duda postawił się prezesowi Kaczyńskiemu. Zasugerował zawetowanie podwyższenia składek ZUS. To ostatecznie przesądza, że przyszłoroczny budżet nie będzie zrównoważony. _link_ ",twitter,66,1.0,1.8,1.8,1.6,1.6,1.2,2.2,1.8,1.0,0.0,0.2,0.2,0.15,0.15,0.0499999999999999,0.3,0.2,0.7028090943480242,0.2434476187436453,0.1487240260835985,0.0233465077622956,0.281815283481725,0.5813143579154293,0.5097612046650035,0.7992262525448753,3.290444345544597
866,Szacunek dla Pana prezydenta Andrzeja Dudy,youtube,15,2.8,1.0,1.0,1.0,1.0,3.6,4.2,1.8,0.0,0.4499999999999999,0.0,0.0,0.0,0.0,0.65,0.8,0.2,1.2326502983779215,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,2.1798037039930414,1.6672696569010328,0.7992262525448753,9.1986549186157
1106,"Prezydent Duda? Halo, tu Ziemia! 🙄🤦‍♂️ _link_ ",twitter,78,1.0,1.0,3.4,2.2,1.0,1.0,1.8,3.2,3.0,0.0,0.0,0.6,0.3,0.0,0.0,0.2,0.55,0.7028090943480242,0.9023972241428534,1.3905542480197337,0.700057576764872,0.7521940272312464,0.8114075297411351,0.945167376978211,1.069622678648096,7.274209755874172
1682,"_users_ Bo spinuje go środowisko neoliberalne po to, by urwał głosy Dudzie i zablokował możliwość wygrania przez Dudę już w I turze, by kandydatka Platformy weszła do II tury i zmusiła całą opozycję do oddania na nią głosu. Dlatego.",twitter,33,1.0,2.2,2.6,1.6,2.2,1.2,2.0,2.6,0.0,0.0,0.3,0.4,0.15,0.3,0.0499999999999999,0.25,0.4,0.7028090943480242,0.8163700401868949,0.6209151109680676,0.0233465077622956,1.3158245941946964,0.5813143579154293,0.7274642908216074,0.2686874224225369,5.056731418619552
