,text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,z_score_Happiness_M,z_score_Sadness_M,z_score_Anger_M,z_score_Disgust_M,z_score_Fear_M,z_score_Pride_M,z_score_Valence_M,z_score_Arousal_M,total_z_score
1140,"._users_ : Trzaskowski premierem, Hołownia prezydentem. Opozycja musi pokazać personalia _link_ ",twitter,61,2.0,1.4,1.6,1.0,1.0,2.6,3.6,3.0,0.0,0.25,0.0999999999999999,0.15,0.0,0.0,0.4,0.65,0.5,0.3724461238330569,0.3294748026996042,0.3411338103465151,0.7467505922894634,0.7521940272312464,1.029337844864512,1.0141603984312215,0.8026442599062428,5.388141859601863
1558,Ten komputer pod pachą Hołowni to taki sam greps jak kubek kawy w ręku w czasie występu na scenie u szefów firm komputerowych prowadzących spotkania z fanami swoich firm. W sumie pretensjonalne _link_ ,twitter,63,1.4,1.0,2.8,2.4,1.0,1.2,2.4,2.6,1.0,0.0999999999999999,0.0,0.4499999999999999,0.35,0.0,0.0499999999999999,0.35,0.4,0.2727070070755918,0.9023972241428534,0.813324895230984,0.9411922716072608,0.7521940272312464,0.5813143579154293,0.2920581185084002,0.2686874224225369,4.823875324134303
1806,"_users_ Byłam tam, bo pisałam powyborczy komentarz o RT i wysłuchałam całego przemówienia. RT zaczął od podziękowań dla MKB, ale zaraz później przeszedł do wychwalania Hołowni, gestów w stronę Bosaka i Kosiniaka-Kamysza (w tej kolejności), co było ukłonem w stronę ich wyborców",twitter,58,1.6,1.0,1.4,1.4,1.0,2.0,3.2,1.8,0.0,0.15,0.0,0.0999999999999999,0.0999999999999999,0.0,0.25,0.55,0.2,0.0576559634393754,0.9023972241428534,0.5335435946094318,0.2644812026046851,0.7521940272312464,0.3390583293873943,0.5787542261180146,0.7992262525448753,4.227310820077876
2210,"Może interesuje Cię co inspirującego i wartościowego stworzył nasz ekspert i motywator Łukasz Krasoń, albo chciałbyś śledzić poczynania doradcy Szymona Hołowni ds. młodego pokolenia, Mateusza Mielczarka?",,92,2.4,1.0,1.0,1.0,1.0,2.4,3.6,2.0,0.0,0.35,0.0,0.0,0.0,0.0,0.35,0.65,0.25,0.8025482111054892,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,0.7992446730388059,1.0141603984312215,0.5322478338030223,6.467906123177367
2989,"Przemek Staroń, doradca ds. edukacji domowej Szymona Hołowni oraz Nauczyciel Roku 2018, publikuje rano krótkie wideo z propozycjami zajęć domowych, książek i filmów.",,76,1.8,1.0,1.0,1.0,1.0,1.4,3.6,1.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0999999999999999,0.65,0.0999999999999999,0.1573950801968407,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,0.3512211860897234,1.0141603984312215,1.3331830900285817,6.175664761545196
3122,"Trawestując Chestertona: ""Kto uwierzył w Hołownię, w przyszłości może uwierzyć w cokolwiek"" _link_ ",twitter,59,1.0,2.0,3.0,2.4,1.8,1.4,1.8,2.4,3.0,0.0,0.25,0.5,0.35,0.2,0.0999999999999999,0.2,0.35,0.7028090943480242,0.5299088294652698,1.0057346794939006,0.9411922716072608,0.626485053719382,0.3512211860897234,0.945167376978211,0.0017090036806836,5.104227495382455
3917,"Wielu dołączyło też dziś do partii Polska 2050 Szymona Hołowni, aby swoją wiedzę przekuć w polityczną sprawczość.",,40,2.2,1.0,1.0,1.0,1.2,1.8,3.8,1.8,0.0,0.3,0.0,0.0,0.0,0.0499999999999999,0.2,0.7,0.2,0.5874971674692734,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.4075242569935894,0.1089651575616884,1.2318634845878251,0.7992262525448753,5.702587298724834
3929,"Czy ja bym mogła się z moimi drogimi interlokutorami umówić tak - jest 3 lata do wyborów i nie ma (na razie) żadnego powodu, żeby uważać, że będą wcześniej, jeśli w czerwcu Hołownia będzie nadal miał sondaże w okolicy 20% to zacznę brać go pod uwagę w analizie, ok?",twitter,23,1.4,1.0,2.2,1.8,1.0,2.2,2.6,2.8,3.0,0.0999999999999999,0.0,0.3,0.2,0.0,0.3,0.4,0.4499999999999999,0.2727070070755918,0.9023972241428534,0.2360955424422346,0.2177881870800934,0.7521940272312464,0.5691515012131003,0.0743550323517963,0.5356658411643895,3.5603543627013057
5161,"_users_ To nagranie miało spełniać funkcję ocieplania wizerunku i budować efekt ""everymanizmu"", ale jest to tylko kolejny dowód na to, że kampanię S. Hołowni prowadzą ludzie, którzy niby znają postawy teoretyczne ale kompletnie nie wiedzą jak je zastosować w praktyce.",twitter,31,1.2,2.0,2.4,2.0,1.2,1.0,2.0,2.2,2.0,0.0499999999999999,0.25,0.35,0.25,0.0499999999999999,0.0,0.25,0.3,0.487758050711808,0.5299088294652698,0.4285053267051509,0.4589228819224826,0.4075242569935894,0.8114075297411351,0.7274642908216074,0.2652694150611691,4.116760581422213
5681,"Żona Hołowni przeciw ślubom jednopłciowym. ""Nie znam osób tej samej płci, które planowałyby małżeństwo"" _link_ ",twitter,90,1.0,2.2,1.8,1.2,1.0,1.0,2.4,2.2,0.0,0.0,0.3,0.2,0.0499999999999999,0.0,0.0,0.35,0.3,0.7028090943480242,0.8163700401868949,0.1487240260835985,0.5056158974470742,0.7521940272312464,0.8114075297411351,0.2920581185084002,0.2652694150611691,4.294448148607542
