,text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,z_score_Happiness_M,z_score_Sadness_M,z_score_Anger_M,z_score_Disgust_M,z_score_Fear_M,z_score_Pride_M,z_score_Valence_M,z_score_Arousal_M,total_z_score
42,"Cały świat mówił, że Carakale to lipa ale Tusk chciał i koniec dyskusji. _link_ ",twitter,0,1.2,1.4,4.0,2.2,1.2,1.0,1.8,2.8,1.0,0.0499999999999999,0.0999999999999999,0.75,0.3,0.0499999999999999,0.0,0.2,0.4499999999999999,0.487758050711808,0.3294748026996042,1.9677836008084837,0.700057576764872,0.4075242569935894,0.8114075297411351,0.945167376978211,0.5356658411643895,6.184839035862093
187,"O tym, aby miasta i gminy z powodów politycznych nie były od nich odcinane, rozmawiałem dziś z Donald Tusk i przyszłą szefową KE Ursulą von der Leyen.",,48,1.6,1.8,1.8,1.0,1.8,2.6,3.4,2.4,0.0,0.15,0.2,0.2,0.0,0.2,0.4,0.6,0.35,0.0576559634393754,0.2434476187436453,0.1487240260835985,0.7467505922894634,0.626485053719382,1.029337844864512,0.796457312274618,0.0017090036806836,3.6505674150952783
279,"Na #CampusPolska byłem nie po to, by nawracać PO, Rafała Trzaskowskiego czy Donalda Tuska, ale by spotkać się i porozmawiać z młodymi ludźmi. Rozmawialiśmy o Bogu i o Kościele, o wierze i niewierze, bo warto rozmawiać, także gdy się nie zgadzamy. Innej drogi spotkania nie ma.",twitter,22,2.4,1.8,1.4,1.0,1.2,3.6,3.4,2.0,0.0,0.35,0.2,0.0999999999999999,0.0,0.0499999999999999,0.65,0.6,0.25,0.8025482111054892,0.2434476187436453,0.5335435946094318,0.7467505922894634,0.4075242569935894,2.1798037039930414,0.796457312274618,0.5322478338030223,6.242323123812301
314,"TVP idzie już na łatwiznę. Tydzień temu był Grodzki, teraz Tusk. Tłustym kotom w DezInfo już nawet pasków nie chce się wymyślać. _link_ ",twitter,26,1.0,2.0,4.4,4.4,1.0,1.0,1.4,3.8,2.0,0.0,0.25,0.8500000000000001,0.8500000000000001,0.0,0.0,0.0999999999999999,0.7,0.7028090943480242,0.5299088294652698,2.352603169334317,3.352539220031154,0.7521940272312464,0.8114075297411351,1.3805735492914184,1.8705579348736547,11.752593354316218
321,"Ziemkiewicz o „wyzwaniu” Tuska dla Kaczyńskiego: „To może być niebezpieczne” NCZAS.COM Ziemkiewicz o ""wyzwaniu"" Tuska dla Kaczyńskiego.",,38,1.0,1.2,1.4,1.2,2.6,1.0,2.4,1.8,0.0,0.0,0.0499999999999999,0.0999999999999999,0.0499999999999999,0.4,0.0,0.35,0.2,0.7028090943480242,0.6159360134212288,0.5335435946094318,0.5056158974470742,2.0051641346700104,0.8114075297411351,0.2920581185084002,0.7992262525448753,6.265760635290181
485,"_users_ I jeszcze Donald Tusk zarzucający Kaczyńskiemu „postępującą emocjonalną destabilizację” i „groźne w skutkach zdziecinnienie” - idealny przykład mechanizmu obronnego, zwanego projekcją.",twitter,64,1.0,1.0,4.2,4.0,1.4,1.0,1.2,3.4,1.0,0.0,0.0,0.8,0.75,0.0999999999999999,0.0,0.0499999999999999,0.6,0.7028090943480242,0.9023972241428534,2.1601933850714,2.8702698303463747,0.0628544867559323,0.8114075297411351,1.598276635448022,1.3366010973899487,10.444809283243693
494,Chlop ma racje Tusk podpisal umowe z ruskim z kturej wynika ze Polska kupuje Gaz od rosji za najwyzsze stawki.,youtube,3,1.0,2.4,3.4,4.0,2.0,1.0,2.0,3.2,0.0,0.0,0.35,0.6,0.75,0.25,0.0,0.25,0.55,0.7028090943480242,1.102831250908519,1.3905542480197337,2.8702698303463747,0.971154823957039,0.8114075297411351,0.7274642908216074,1.069622678648096,9.64611374679053
558,"Tusk przedstawił program KO na walkę z inflacją. Jeden z głównych punktów tego programu, to 20% podwyżki dla budżetówki - czyli wzrost inflacji. Czyżby Mateusz mu ciągle doradzał?",twitter,58,1.2,1.4,2.4,2.2,2.0,1.0,2.0,2.4,4.0,0.0499999999999999,0.0999999999999999,0.35,0.3,0.25,0.0,0.25,0.35,0.487758050711808,0.3294748026996042,0.4285053267051509,0.700057576764872,0.971154823957039,0.8114075297411351,0.7274642908216074,0.0017090036806836,4.4575314050819
684,"Ani Tusk, ani żaden inny zbawca nie przyjedzie na białym koniu i nie odsunie magicznie PiSu od władzy.",,5,1.0,2.2,2.2,1.4,1.6,1.0,2.0,2.6,3.0,0.0,0.3,0.3,0.0999999999999999,0.15,0.0,0.25,0.4,0.7028090943480242,0.8163700401868949,0.2360955424422346,0.2644812026046851,0.281815283481725,0.8114075297411351,0.7274642908216074,0.2686874224225369,4.109130406048843
846,Panie Kowalski kto wywołuje lll wojnę światową TUSK !!!!!?,youtube,79,1.0,1.2,3.4,2.8,1.6,1.0,1.2,4.0,0.0,0.0,0.0499999999999999,0.6,0.4499999999999999,0.15,0.0,0.0499999999999999,0.75,0.7028090943480242,0.6159360134212288,1.3905542480197337,1.4234616612920392,0.281815283481725,0.8114075297411351,1.598276635448022,2.137536353615508,8.961796819367416
1141,Dla nocnej zmiany. Tusk do wiosny chce mieć 'zdyscyplinowaną armię 50 tys. ludzi do kontroli wyborów' _link_ ,twitter,12,1.0,1.0,1.6,1.4,1.4,1.4,2.6,1.8,1.0,0.0,0.0,0.15,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.4,0.2,0.7028090943480242,0.9023972241428534,0.3411338103465151,0.2644812026046851,0.0628544867559323,0.3512211860897234,0.0743550323517963,0.7992262525448753,3.4984782891844053
1335,„Donald Tusk zachował się bardzo twardo”. Paweł Wroński (Gazeta Wyborcza) był zachwycony przylotem nowego premiera na spotkanie z Władimirem Putinem w Moskwie. via _users_ _link_ ,twitter,85,3.2,1.0,1.0,1.0,1.2,3.8,4.2,2.4,0.0,0.55,0.0,0.0,0.0,0.0499999999999999,0.7,0.8,0.35,1.6627523856503543,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.4075242569935894,2.409896875818747,1.6672696569010328,0.0017090036806836,8.71666315861199
1489,"_users_ To samo mówiłem, gdy takie akcje były pod domami Tuska, czy Kaczyńskiego. Uważam, że walka polityczna ma swoje granice. To jest ta granica.",twitter,20,1.0,2.4,3.0,2.2,1.6,1.6,2.2,2.6,0.0,0.0,0.35,0.5,0.3,0.15,0.15,0.3,0.4,0.7028090943480242,1.102831250908519,1.0057346794939006,0.700057576764872,0.281815283481725,0.1211280142640174,0.5097612046650035,0.2686874224225369,4.692824526348598
1505,Gra Scholza w obecności Tuska w dobrego i złego ubeka.,,0,1.0,1.6,4.0,4.0,1.6,1.0,1.2,3.0,0.0,0.0,0.15,0.75,0.75,0.15,0.0,0.0499999999999999,0.5,0.7028090943480242,0.0430135919779793,1.9677836008084837,2.8702698303463747,0.281815283481725,0.8114075297411351,1.598276635448022,0.8026442599062428,9.078019826057988
1546,"Wracając do tematu nagrania. Zadziwia też niebywała służalczość prowadzącej wywiad, jej głos, to, jak usłużna wobec Tuska jest. Ewidetna relacja skrajnej podległości. No cóż, znów widzimy w praktyce jak wyglądają wolne media PO.",twitter,87,1.0,2.2,3.8,3.4,1.0,1.0,1.2,3.6,2.0,0.0,0.3,0.7,0.6,0.0,0.0,0.0499999999999999,0.65,0.7028090943480242,0.8163700401868949,1.7753738165455666,2.146865745819207,0.7521940272312464,0.8114075297411351,1.598276635448022,1.603579516131802,10.206876405451895
2459,"""Nie ma żadnego dealu między Tuskiem, a _users_ , jest ogłoszona decyzja o starcie lidera projektu _users_ "" - _users_ w #PolityknaOstro _users_ ",twitter,32,1.2,1.0,1.4,1.0,1.2,1.4,3.0,2.0,0.0,0.0499999999999999,0.0,0.0999999999999999,0.0,0.0499999999999999,0.0999999999999999,0.5,0.25,0.487758050711808,0.9023972241428534,0.5335435946094318,0.7467505922894634,0.4075242569935894,0.3512211860897234,0.3610511399614108,0.5322478338030223,4.322493878601303
2512,Trwa spotkanie Donalda Tuska z ekspertami medycznymi i członkami rady medycznej przy premierze.,,23,1.6,1.0,1.0,1.0,1.2,2.0,3.2,1.0,0.0,0.15,0.0,0.0,0.0,0.0499999999999999,0.25,0.55,0.0,0.0576559634393754,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.4075242569935894,0.3390583293873943,0.5787542261180146,1.8671399275122875,5.817643683018243
2566,"Donald Tusk po aneksji Krymu przez Rosję (2014): „Wyobraźmy sobie, że w Polsce rządzi Jarosław Kaczyński, który usiłowałby wymusić na państwach regionu takich jak Węgrzy i Słowacy radykalnie antyrosyjską postawę.” _link_ ",twitter,8,1.0,2.4,2.6,1.6,1.4,1.4,2.4,2.0,2.0,0.0,0.35,0.4,0.15,0.0999999999999999,0.0999999999999999,0.35,0.25,0.7028090943480242,1.102831250908519,0.6209151109680676,0.0233465077622956,0.0628544867559323,0.3512211860897234,0.2920581185084002,0.5322478338030223,3.688283589143986
