text,source,part,Happiness_M,Sadness_M,Anger_M,Disgust_M,Fear_M,Pride_M,Valence_M,Arousal_M,Irony_M,norm_Happiness_M,norm_Sadness_M,norm_Anger_M,norm_Disgust_M,norm_Fear_M,norm_Pride_M,norm_Valence_M,norm_Arousal_M,z_score_Happiness_M,z_score_Sadness_M,z_score_Anger_M,z_score_Disgust_M,z_score_Fear_M,z_score_Pride_M,z_score_Valence_M,z_score_Arousal_M,total_z_score
"Jeśli ktoś chce zrozumieć źródła intelektualne polityki Stolicy Apostolskiej wobec Rosji i Ukrainy powinien przeczytać wywiad we włoskiej wersji VaticanNews.va z francuskim jezuitą o. Gaël Giraud, ekonomistą, szefem Environmental Justice Program na Georgetown University.",,40,1.0,1.0,1.0,1.0,1.2,1.2,3.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0499999999999999,0.0499999999999999,0.5,0.15,0.7028090943480242,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.4075242569935894,0.5813143579154293,0.3610511399614108,1.0662046712867284,5.686414500072764
"👨‍👩‍👦 Wiedzę przedstawiają specjalistki i specjaliści, rodzice zadają im pytania.",,71,1.8,1.0,1.0,1.0,1.0,1.8,3.6,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.65,0.25,0.15739508019684076,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,0.10896515756168842,1.0141603984312217,0.5322478338030223,5.132473476791601
_users_ 100% że nie powiedział.,twitter,2,1.0,1.8,2.2,2.2,1.6,1.4,2.2,2.2,1.0,0.0,0.2,0.3,0.3,0.15,0.0999999999999999,0.3,0.3,0.7028090943480242,0.2434476187436453,0.23609554244223463,0.700057576764872,0.281815283481725,0.35122118608972347,0.5097612046650035,0.2652694150611691,3.290476921596397
"Lewiatan: Jeśli firmy nie dostaną wsparcia, bezrobocie wzrośnie nawet do 10 proc.",twitter,47,1.0,2.6,1.6,1.0,3.2,1.0,2.0,2.6,0.0,0.0,0.4,0.15,0.0,0.55,0.0,0.25,0.4,0.7028090943480242,1.389292461630144,0.3411338103465151,0.7467505922894634,3.039173445382982,0.8114075297411351,0.7274642908216074,0.2686874224225369,8.026718646982408
Ropa z Rosji płynie do krajów Zachodu. Oligarcha pomaga omijać sankcje _link_ ,twitter,76,1.0,1.0,1.6,1.6,1.2,1.0,2.4,1.6,0.0,0.0,0.0,0.15,0.15,0.0499999999999999,0.0,0.35,0.15,0.7028090943480242,0.9023972241428534,0.3411338103465151,0.023346507762295684,0.4075242569935894,0.8114075297411351,0.29205811850840024,1.0662046712867284,4.5468812131295415
"Ciekawe dlaczego pokazują obraz płodu z hasłem 'pigułka aborcyjna zabija.' O ile dobrze kojarzę, pigułka 'po' właśnie uniemożliwia powstanie płodu. Ale, może, cytując premiera Morawieckiego, 'ludzie są tak głupi, że to działa?' _link_ ",twitter,62,1.0,1.4,4.0,3.4,1.6,1.2,1.4,3.8,2.0,0.0,0.0999999999999999,0.75,0.6,0.15,0.0499999999999999,0.0999999999999999,0.7,0.7028090943480242,0.3294748026996042,1.9677836008084835,2.146865745819207,0.281815283481725,0.5813143579154293,1.3805735492914184,1.8705579348736547,9.261194369237547
"""Po ciężkim okresie liberalnych reform zaczął się wzrost, którego by bez nich nie było. Ale zamiast takiego przekazu Putin postawił na to, by lata 90 zmieszać z błotem"" GW, 30.04. Putinowską strategię PiS zastosował w Polsce. A my osiągnęliśmy dużo większy sukces niż Rosja!",twitter,27,1.8,1.4,2.8,1.8,1.2,1.4,3.0,3.0,2.0,0.2,0.0999999999999999,0.4499999999999999,0.2,0.0499999999999999,0.0999999999999999,0.5,0.5,0.15739508019684076,0.3294748026996042,0.813324895230984,0.21778818708009345,0.4075242569935894,0.35122118608972347,0.3610511399614108,0.8026442599062428,3.4404238081584886
FAKTY.INTERIA.PL Amerykański politolog alarmuje: Śmiertelne zagrożenie,,0,1.0,1.8,1.6,1.0,3.2,1.0,2.0,2.8,0.0,0.0,0.2,0.15,0.0,0.55,0.0,0.25,0.4499999999999999,0.7028090943480242,0.2434476187436453,0.3411338103465151,0.7467505922894634,3.039173445382982,0.8114075297411351,0.7274642908216074,0.5356658411643895,7.147852222837762
"_users_ Nie, to miało miejsce, ale taki akcjami proces się odwróci",twitter,11,1.2,1.4,2.0,1.2,1.4,1.0,2.8,1.0,0.0,0.0499999999999999,0.0999999999999999,0.25,0.0499999999999999,0.0999999999999999,0.0,0.4499999999999999,0.0,0.487758050711808,0.3294748026996042,0.04368575817931792,0.5056158974470742,0.06285448675593239,0.8114075297411351,0.14334805380480695,1.8671399275122875,4.251284506851967
_users_ ten prognozujący wiosnę ?,twitter,38,2.2,1.0,1.2,1.0,1.2,1.6,3.2,1.4,1.0,0.3,0.0,0.0499999999999999,0.0,0.0499999999999999,0.15,0.55,0.0999999999999999,0.5874971674692734,0.9023972241428534,0.7259533788723483,0.7467505922894634,0.4075242569935894,0.1211280142640174,0.5787542261180146,1.3331830900285815,5.4031879501781415
"""Wydaje się, że inflacja nie osiągnie poziomu 10 proc., ale 7-8 proc. jest realne. Nasze modele makroekonomiczne nie pokazują 10 proc., więcej skupiamy się na 7-8 proc. Bardzo możliwe, że taki poziom osiągniemy jeszcze w tym roku"" - wiceminister finansów Piotr Patkowski.",twitter,44,2.0,1.6,1.4,1.0,1.4,1.2,2.4,2.0,0.0,0.25,0.15,0.0999999999999999,0.0,0.0999999999999999,0.0499999999999999,0.35,0.25,0.3724461238330569,0.0430135919779793,0.5335435946094318,0.7467505922894634,0.06285448675593239,0.5813143579154293,0.29205811850840024,0.5322478338030223,3.164228699692716
"Ale warto się zastanowić, jakie wsparcie jest potrzebne, a jakie jest tylko powielaniem seksistowskich stereotypów i karmieniem męskiego ego.",,10,1.0,1.0,3.0,2.8,1.0,1.2,2.2,2.6,1.0,0.0,0.0,0.5,0.4499999999999999,0.0,0.0499999999999999,0.3,0.4,0.7028090943480242,0.9023972241428534,1.0057346794939006,1.4234616612920392,0.7521940272312464,0.5813143579154293,0.5097612046650035,0.2686874224225369,6.146359671511034
"_users_ Tak panie pośle. Oczywiście włamanie na konto nastąpiło, zaznaczyłam to niech się pan nie obawia.",twitter,46,1.0,1.2,2.4,1.8,1.4,1.2,2.2,2.8,2.0,0.0,0.0499999999999999,0.35,0.2,0.0999999999999999,0.0499999999999999,0.3,0.4499999999999999,0.7028090943480242,0.6159360134212288,0.42850532670515096,0.21778818708009345,0.06285448675593239,0.5813143579154293,0.5097612046650035,0.5356658411643895,3.654634512055252
USA: Odnawialne źródła energii znacznie przewyższyły energetykę jądrową w 2020 roku,twitter,29,1.2,1.0,1.0,1.0,1.0,1.4,3.2,1.2,0.0,0.0499999999999999,0.0,0.0,0.0,0.0,0.0999999999999999,0.55,0.0499999999999999,0.487758050711808,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,0.35122118608972347,0.5787542261180146,1.6001615087704344,6.337599978488809
_users_ Polska policja głównie nosi ich na rękach,twitter,56,1.0,1.6,2.2,2.8,1.2,1.4,1.8,2.4,4.0,0.0,0.15,0.3,0.4499999999999999,0.0499999999999999,0.0999999999999999,0.2,0.35,0.7028090943480242,0.0430135919779793,0.23609554244223463,1.4234616612920392,0.4075242569935894,0.35122118608972347,0.945167376978211,0.00170900368068362,4.111001713802485
_users_ Ma rację.,twitter,30,1.4,1.0,1.0,1.0,1.0,1.6,3.2,1.2,0.0,0.0999999999999999,0.0,0.0,0.0,0.0,0.15,0.55,0.0499999999999999,0.27270700707559187,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.7521940272312464,0.1211280142640174,0.5787542261180146,1.6001615087704344,5.892455763026886
_users_ Ludzie zdecydowali 💁🏻‍♀️ Wyborcy opozycji.,twitter,23,1.4,1.6,1.0,1.6,1.0,1.6,2.8,1.6,2.0,0.0999999999999999,0.15,0.0,0.15,0.0,0.15,0.4499999999999999,0.15,0.27270700707559187,0.0430135919779793,0.9183631631352648,0.023346507762295684,0.7521940272312464,0.1211280142640174,0.14334805380480695,1.0662046712867284,3.3403050365379303
"Zdradzę tylko, że w tym filmie kręcą się Francuzi :)",,19,3.0,1.2,1.0,1.0,1.0,1.0,3.8,1.8,0.0,0.5,0.0499999999999999,0.0,0.0,0.0,0.0,0.7,0.2,1.447701342014138,0.6159360134212288,0.9183631631352648,0.7467505922894634,0.7521940272312464,0.8114075297411351,1.2318634845878251,0.7992262525448753,7.323442404965177
Chiny coraz ważniejsze dla Polski. Ustępują tylko Niemcom _link_ ,twitter,40,1.0,1.0,1.0,1.0,1.2,1.0,3.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0499999999999999,0.0,0.5,0.15,0.7028090943480242,0.9023972241428534,0.9183631631352648,0.7467505922894634,0.4075242569935894,0.8114075297411351,0.3610511399614108,1.0662046712867284,5.9165076718984695
"Żeby zakończyć dzień pozytywniej... Na szczęście jest _users_ . Właśnie poinformowała, że przekaże 200 tys. zł na dwie wspaniałe fundacje: Słonie na Balkonie i Fundację Dajemy Dzieciom Siłę. Dla porównania: polski rząd na Telefon Zaufania FDDS przez cały rok (!) daje 130 tys.",twitter,2,4.0,2.4,3.0,2.2,1.2,3.4,3.8,4.6,2.0,0.75,0.35,0.5,0.3,0.0499999999999999,0.6,0.7,0.8999999999999999,2.5229565601952193,1.102831250908519,1.0057346794939006,0.700057576764872,0.4075242569935894,1.9497105321673354,1.2318634845878251,2.938471609841067,11.859149950952327
"Cena skupu żywca zaczyna osiągać nieznane wcześniej poziomy 8,5-9 zł za kg. Nadal jest to jednak cena na granicy opłacalności. Tymczasem w sklepach schab można kupić w promocji już za 11,5 zł za kg, a średnio płacimy za niego ok. 15-16 zł za kg.",twitter,84,1.0,1.6,1.4,1.4,1.6,1.0,2.6,1.8,0.0,0.0,0.15,0.0999999999999999,0.0999999999999999,0.15,0.0,0.4,0.2,0.7028090943480242,0.0430135919779793,0.5335435946094318,0.2644812026046851,0.281815283481725,0.8114075297411351,0.07435503235179639,0.7992262525448753,3.510651581659652
Władze Azerbejdżanu: dwa armeńskie Su-25 rozbiły się o górę _link_ via _users_ ,twitter,68,1.0,2.0,1.0,1.0,2.0,1.0,2.6,1.8,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.4,0.2,0.7028090943480242,0.5299088294652698,0.9183631631352648,0.7467505922894634,0.971154823957039,0.8114075297411351,0.07435503235179639,0.7992262525448753,5.553975317832868
