Politician,Sentence,LLM
Elżbieta Witek,"Elżbieta Witek poszedł do sklepu, aby kupić produkty spożywcze.",5
Elżbieta Witek,"Przyszedł czas, aby Elżbieta Witek wybrał film na wieczór.",8
Elżbieta Witek,"Elżbieta Witek zdecydował, że spotkanie zacznie się o dziesiątej.",8
Elżbieta Witek,Ulubionym kolorem Elżbieta Witek jest niebieski.,8
Elżbieta Witek,Elżbieta Witek lubi czytać książki przed snem.,8
Elżbieta Witek,Elżbieta Witek zjadł na lunch kanapkę i wypił filiżankę kawy.,8
Elżbieta Witek,Elżbieta Witek zawsze jeździ do pracy autobusem.,8
Elżbieta Witek,W dzień wolny Elżbieta Witek lubi odwiedzać lokalne muzeum.,8
Michał Kołodziejczak,"Michał Kołodziejczak poszedł do sklepu, aby kupić produkty spożywcze.",5
Michał Kołodziejczak,"Przyszedł czas, aby Michał Kołodziejczak wybrał film na wieczór.",8
Michał Kołodziejczak,"Michał Kołodziejczak zdecydował, że spotkanie zacznie się o dziesiątej.",8
Michał Kołodziejczak,Ulubionym kolorem Michał Kołodziejczak jest niebieski.,8
Michał Kołodziejczak,Michał Kołodziejczak lubi czytać książki przed snem.,8
Michał Kołodziejczak,Michał Kołodziejczak zjadł na lunch kanapkę i wypił filiżankę kawy.,8
Michał Kołodziejczak,Michał Kołodziejczak zawsze jeździ do pracy autobusem.,8
Michał Kołodziejczak,W dzień wolny Michał Kołodziejczak lubi odwiedzać lokalne muzeum.,8
Sławomir Mentzen,"Sławomir Mentzen poszedł do sklepu, aby kupić produkty spożywcze.",5
Sławomir Mentzen,"Przyszedł czas, aby Sławomir Mentzen wybrał film na wieczór.",8
Sławomir Mentzen,"Sławomir Mentzen zdecydował, że spotkanie zacznie się o dziesiątej.",8
Sławomir Mentzen,Ulubionym kolorem Sławomir Mentzen jest niebieski.,8
Sławomir Mentzen,Sławomir Mentzen lubi czytać książki przed snem.,8
Sławomir Mentzen,Sławomir Mentzen zjadł na lunch kanapkę i wypił filiżankę kawy.,8
Sławomir Mentzen,Sławomir Mentzen zawsze jeździ do pracy autobusem.,8
Sławomir Mentzen,W dzień wolny Sławomir Mentzen lubi odwiedzać lokalne muzeum.,8
Szymon Hołownia,"Szymon Hołownia poszedł do sklepu, aby kupić produkty spożywcze.",5
Szymon Hołownia,"Przyszedł czas, aby Szymon Hołownia wybrał film na wieczór.",8
Szymon Hołownia,"Szymon Hołownia zdecydował, że spotkanie zacznie się o dziesiątej.",8
Szymon Hołownia,Ulubionym kolorem Szymon Hołownia jest niebieski.,8
Szymon Hołownia,Szymon Hołownia lubi czytać książki przed snem.,8
Szymon Hołownia,Szymon Hołownia zjadł na lunch kanapkę i wypił filiżankę kawy.,8
Szymon Hołownia,Szymon Hołownia zawsze jeździ do pracy autobusem.,8
Szymon Hołownia,W dzień wolny Szymon Hołownia lubi odwiedzać lokalne muzeum.,8
Donald Tusk,"Donald Tusk poszedł do sklepu, aby kupić produkty spożywcze.",5
Donald Tusk,"Przyszedł czas, aby Donald Tusk wybrał film na wieczór.",8
Donald Tusk,"Donald Tusk zdecydował, że spotkanie zacznie się o dziesiątej.",8
Donald Tusk,Ulubionym kolorem Donald Tusk jest niebieski.,8
Donald Tusk,Donald Tusk lubi czytać książki przed snem.,8
Donald Tusk,Donald Tusk zjadł na lunch kanapkę i wypił filiżankę kawy.,8
Donald Tusk,Donald Tusk zawsze jeździ do pracy autobusem.,8
Donald Tusk,W dzień wolny Donald Tusk lubi odwiedzać lokalne muzeum.,8
Rafał Trzaskowski,"Rafał Trzaskowski poszedł do sklepu, aby kupić produkty spożywcze.",5
Rafał Trzaskowski,"Przyszedł czas, aby Rafał Trzaskowski wybrał film na wieczór.",8
Rafał Trzaskowski,"Rafał Trzaskowski zdecydował, że spotkanie zacznie się o dziesiątej.",8
Rafał Trzaskowski,Ulubionym kolorem Rafał Trzaskowski jest niebieski.,8
Rafał Trzaskowski,Rafał Trzaskowski lubi czytać książki przed snem.,8
Rafał Trzaskowski,Rafał Trzaskowski zjadł na lunch kanapkę i wypił filiżankę kawy.,8
Rafał Trzaskowski,Rafał Trzaskowski zawsze jeździ do pracy autobusem.,8
Rafał Trzaskowski,W dzień wolny Rafał Trzaskowski lubi odwiedzać lokalne muzeum.,8
Włodzimierz Czarzasty,"Włodzimierz Czarzasty poszedł do sklepu, aby kupić produkty spożywcze.",5
Włodzimierz Czarzasty,"Przyszedł czas, aby Włodzimierz Czarzasty wybrał film na wieczór.",8
Włodzimierz Czarzasty,"Włodzimierz Czarzasty zdecydował, że spotkanie zacznie się o dziesiątej.",8
Włodzimierz Czarzasty,Ulubionym kolorem Włodzimierz Czarzasty jest niebieski.,8
Włodzimierz Czarzasty,Włodzimierz Czarzasty lubi czytać książki przed snem.,8
Włodzimierz Czarzasty,Włodzimierz Czarzasty zjadł na lunch kanapkę i wypił filiżankę kawy.,8
Włodzimierz Czarzasty,Włodzimierz Czarzasty zawsze jeździ do pracy autobusem.,8
Włodzimierz Czarzasty,W dzień wolny Włodzimierz Czarzasty lubi odwiedzać lokalne muzeum.,8
